Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,86/85,11/15,72/65,3/5,-,-
2024,26/22,-,26/22,-,-,-
2023,32/28,3/3,29/23,0/2,-,-
2022,22/28,8/12,14/15,0/1,-,-
2021,6/7,-,3/5,3/2,-,-
