Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,421/292,187/130,106/89,100/51,22/19,6/3
2024,3/8,2/6,1/2,-,-,-
2023,22/21,7/6,12/10,0/1,2/3,1/1
2022,56/31,18/11,14/7,22/10,2/2,0/1
2021,12/20,6/8,5/9,0/1,1/2,-
2020,12/12,1/3,5/7,6/1,-,0/1
2019,42/27,11/8,12/10,10/6,8/3,1/0
2018,32/26,6/10,12/9,9/4,5/3,-
2017,40/17,16/5,15/8,9/4,-,-
2016,24/24,9/13,5/8,6/2,0/1,4/0
2015,39/26,22/14,9/5,7/5,1/2,-
2014,40/27,16/11,8/6,13/7,3/3,-
2013,39/26,23/13,8/7,8/6,-,-
2012,50/17,40/13,-,10/4,-,-
2011,8/5,8/4,0/1,-,-,-
2010,0/2,0/2,-,-,-,-
2009,2/3,2/3,-,-,-,-
