Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,385/249,154/118,182/78,48/51,0/2,1/0
2024,5/5,4/5,-,-,-,1/0
2023,5/4,5/3,-,0/1,-,-
2022,26/25,20/17,4/1,2/6,0/1,-
2021,36/33,15/19,13/6,8/8,-,-
2020,31/24,26/12,3/5,2/7,-,-
2019,38/37,15/13,9/7,14/16,0/1,-
2018,57/25,7/5,45/15,5/5,-,-
2017,47/28,9/7,35/18,3/3,-,-
2016,59/26,27/17,20/7,12/2,-,-
2015,65/27,22/13,41/13,2/1,-,-
2014,15/11,3/5,12/6,-,-,-
2013,0/1,-,-,0/1,-,-
2012,1/3,1/2,-,0/1,-,-
