Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,427/332,167/150,210/136,32/27,1/7,17/12
2024,6/11,6/8,0/2,-,-,0/1
2023,16/28,1/5,8/16,5/4,1/2,1/1
2022,47/26,1/3,36/15,8/6,0/1,2/1
2021,37/33,9/11,25/15,3/4,0/1,0/2
2020,12/15,4/6,2/5,5/4,-,1/0
2019,48/30,15/9,25/14,7/5,0/2,1/0
2018,39/25,13/12,21/10,4/3,-,1/0
2017,27/23,12/11,14/11,-,-,1/1
2016,37/32,18/18,16/12,0/1,-,3/1
2015,48/25,34/16,12/8,-,-,2/1
2014,33/27,18/17,12/8,-,0/1,3/1
2013,26/13,14/9,11/2,-,-,1/2
2012,15/4,2/2,12/2,-,-,1/0
2011,4/3,-,4/3,-,-,-
2010,14/17,13/12,1/4,-,-,0/1
2009,15/9,5/6,10/3,-,-,-
2008,1/4,0/2,1/2,-,-,-
2007,1/3,1/1,0/2,-,-,-
2006,1/4,1/2,0/2,-,-,-
