Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/21,15/16,-,9/5,-,-
2024,16/10,11/8,-,5/2,-,-
2023,7/6,3/4,-,4/2,-,-
2022,1/3,1/2,-,0/1,-,-
2019,0/1,0/1,-,-,-,-
2014,0/1,0/1,-,-,-,-
