Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,140/129,20/22,106/92,4/10,-,10/5
2024,20/26,3/10,17/15,0/1,-,-
2023,42/32,15/8,17/18,2/4,-,8/2
2022,19/19,1/2,15/11,1/3,-,2/3
2021,27/20,-,27/20,-,-,-
2020,1/3,1/2,0/1,-,-,-
2019,6/3,-,6/3,-,-,-
2018,1/3,-,1/2,0/1,-,-
2017,4/6,-,4/6,-,-,-
2016,12/9,-,11/8,1/1,-,-
2015,3/5,-,3/5,-,-,-
2014,5/2,-,5/2,-,-,-
2013,0/1,-,0/1,-,-,-
