Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,512/329,228/165,241/138,10/11,-,33/15
2024,14/15,-,9/13,2/1,-,3/1
2023,9/13,1/5,4/3,1/2,-,3/3
2022,22/23,11/16,5/5,1/1,-,5/1
2021,13/17,10/10,3/5,0/1,-,0/1
2020,5/11,1/3,2/6,2/2,-,-
2019,47/30,16/10,31/20,-,-,-
2018,52/22,23/8,22/10,4/3,-,3/1
2017,42/24,21/12,17/10,-,-,4/2
2016,29/26,17/15,8/9,-,-,4/2
2015,49/25,16/12,30/10,0/1,-,3/2
2014,61/31,19/18,40/11,-,-,2/2
2013,63/29,38/21,21/8,-,-,4/0
2012,56/26,29/16,25/10,-,-,2/0
2011,40/28,24/17,16/11,-,-,-
2010,2/2,1/1,1/1,-,-,-
2009,5/4,1/1,4/3,-,-,-
2008,1/1,-,1/1,-,-,-
2007,2/2,-,2/2,-,-,-
