Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,454/317,398/228,28/44,24/34,4/10,0/1
2024,23/26,20/17,2/5,0/2,1/2,-
2023,48/28,43/19,1/2,4/5,0/2,-
2022,30/31,24/20,4/7,1/3,1/1,-
2021,38/26,36/17,0/4,2/4,0/1,-
2020,21/14,16/7,1/4,4/2,-,0/1
2019,36/33,31/23,3/7,1/1,1/2,-
2018,37/29,33/20,1/3,2/5,1/1,-
2017,40/30,36/21,2/5,2/3,0/1,-
2016,49/25,48/22,0/1,1/2,-,-
2015,45/27,30/18,8/2,7/7,-,-
2014,42/21,40/20,2/1,-,-,-
2013,31/15,29/13,2/2,-,-,-
2012,13/9,11/8,2/1,-,-,-
2011,0/3,0/3,-,-,-,-
2010,1/0,1/0,-,-,-,-
