Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,138/152,65/63,29/41,27/38,-,17/10
2024,10/14,5/6,5/8,-,-,-
2023,42/40,15/14,5/4,12/17,-,10/5
2022,34/40,9/7,9/13,9/15,-,7/5
2021,24/25,19/20,0/1,5/4,-,-
2020,7/8,5/4,2/4,-,-,-
2019,11/15,3/6,7/8,1/1,-,-
2018,10/9,9/6,1/3,-,-,-
2015,0/1,-,-,0/1,-,-
