Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,103/48,60/29,30/13,6/5,-,7/1
2024,28/15,20/12,4/1,2/1,-,2/1
2023,39/14,24/9,10/5,-,-,5/0
2022,31/13,15/6,13/5,3/2,-,-
2021,4/5,1/2,3/2,0/1,-,-
2020,1/1,-,-,1/1,-,-
