Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
15.06.,Bailly P. Y.,2,,,,,,"['3', '4', '5', '4']",[],"['1', '0', '4', '3', '6', '3']",[],[],1.31
15.06.,Pow L.,1,,,,,,"['4', '2']","['3', '1', '6', '2']","['2', '2']",[],[],3.20
14.06.,Bailly P. Y.,1,,,,,,"['2', '1', '5', '2']",[],[],[],[],1.18
14.06.,Tepmahc N.,0,,,,,,[],[],[],[],[],4.38
13.06.,Bailly P. Y.,2,,,,,,"['3', '1', '6', '2']","['3', '1', '5', '1']",[],[],[],1.10
13.06.,Saraiva Dos Santos P. A.,0,,,,,,[],[],[],[],[],5.90
12.06.,Bailly P. Y.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '4', '7', '5']",[],[],[],1.14
12.06.,Canter A.,0,,,,,,[],"['3', '2']",[],[],[],4.85
11.06.,Bailly P. Y.,2,,,,,,"['1', '0', '4', '1', '6', '3']","['1', '1', '3', '1', '4', '2', '6', '2']",[],[],[],1.14
11.06.,Ibrahim K.,0,,,,,,"['3', '5']","['1', '0', '2', '3']",[],[],[],4.90
23.11.2024,Bailly P. Y.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['3', '1']",[],[],[],1.55
23.11.2024,Vale D.,0,,,,,,"['2', '5']","['4', '5']",[],[],[],2.32
22.11.2024,Bailly P. Y.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['2', '3', '6', '5']",[],[],[],1.85
22.11.2024,Maloney P.,0,,,,,,"['1', '5']","['2', '0']",[],[],[],1.85
21.11.2024,Bailly P. Y.,2,,,,,,"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '0']",[],[],[],1.14
21.11.2024,Mesarovic M.,0,,,,,,"['1', '1']",[],[],[],[],5.00
20.11.2024,Bailly P. Y.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],1.34
20.11.2024,Casper L.,0,,,,,,[],[],[],[],[],3.04
18.10.2024,Dostanic S.,2,,,,,,"['2', '0', '5', '3']","['2', '1']",[],[],[],1.32
18.10.2024,Bailly P. Y.,0,,,,,,"['1', '2']",[],[],[],[],3.14
17.10.2024,Bailly P. Y.,2,,,,,,"['3', '3', '4', '4', '7', '5']","['2', '2', '5', '3']",[],[],[],1.55
17.10.2024,Brumm J.,0,,,,,,"['3', '2', '4', '3']","['1', '0']",[],[],[],2.32
16.10.2024,Bailly P. Y.,1,,,,,,"['1', '0']","['1', '0']",[],[],[],1.01
16.10.2024,Grzegorzewski O.,0,,,,,,[],[],[],[],[],11.20
12.11.2023,Bailly P. Y.,2,,,,,,[],"['4', '4', '6', '4']","['3', '1']",[],[],1.74
12.11.2023,Woldeab S.,1,,,,,,"['1', '0', '4', '1']","['4', '3']",[],[],[],1.98
11.11.2023,Bailly P. Y.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '6', '2']",[],[],[],2.95
11.11.2023,Spizzirri E.,0,,,,,,"['1', '0']",[],[],[],[],1.36
10.11.2023,Bailly P. Y.,1,,,,,,"['2', '0', '4', '4', '6', '6']","['1', '0', '3', '0']",[],[],[],-
10.11.2023,Braswell M.,0,,,,,,"['1', '2', '3', '2', '6', '5']",[],[],[],[],-
10.11.2023,Bailly P. Y.,1,,,,,,"['1', '1', '4', '2', '6', '2']","['2', '0']",[],[],[],2.63
10.11.2023,Bicknell B.,0,,,,,,"['1', '0']",[],[],[],[],1.45
08.11.2023,Bailly P. Y.,2,,,,,,"['1', '1']","['3', '2', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],1.19
08.11.2023,Esquici L.,1,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['3', '3']",[],[],[],4.31
19.07.2023,Yunis F.,2,,,,,,"['3', '2']","['2', '1']","['1', '1', '2', '2', '3', '5', '5', '5']",[],[],4.34
19.07.2023,Bailly P. Y.,1,,,,,,[],"['2', '2', '4', '2']","['1', '0', '2', '1', '3', '2', '5', '2']",[],[],1.19
10.09.2021,Shang J.,2,,,,,,[],"['1', '1', '4', '2']","['2', '1', '5', '2']",[],[],-
10.09.2021,Bailly P. Y.,1,,,,,,"['4', '2']","['1', '0']",[],[],[],-
08.09.2021,Bailly P. Y.,2,,,,,,"['3', '1', '6', '4']","['2', '0', '5', '3', '6', '4']",[],[],[],-
08.09.2021,Smith C.,0,,,,,,"['3', '4']","['2', '3', '4', '5']",[],[],[],-
07.09.2021,Bailly P. Y.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '5', '3']",[],[],[],-
07.09.2021,Bueno G.,0,,,,,,[],"['1', '0', '2', '3']",[],[],[],-
06.09.2021,Bailly P. Y.,2,,,,,,"['3', '2', '4', '3']","['3', '4']","['6', '4']",[],[],-
06.09.2021,Anthrop J.,1,,,,,,"['3', '3']","['3', '1']",[],[],[],-
07.06.2021,Gueymard Wayenburg S.,2,,,,,,[],"['1', '0', '5', '2']","['1', '0', '3', '2', '5', '4']",[],[],-
07.06.2021,Bailly P. Y.,1,,,,,,"['2', '0', '6', '2']",[],"['2', '2', '4', '4']",[],[],-
06.06.2021,Bailly P. Y.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '2', '5', '3']",[],[],[],-
06.06.2021,Anthrop J.,0,,,,,,[],"['2', '1']",[],[],[],-
