Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/21,3/2,20/19,-,-,-
2024,12/13,1/1,11/12,-,-,-
2023,8/6,2/1,6/5,-,-,-
2022,3/2,-,3/2,-,-,-
