Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,359/246,90/66,182/124,57/34,30/19,0/3
2024,15/20,3/5,7/11,-,5/4,-
2023,34/22,8/5,19/15,-,7/2,-
2022,39/20,7/4,25/12,2/2,5/2,-
2021,33/24,14/4,15/13,3/4,1/3,-
2020,19/15,1/3,11/7,7/3,-,0/2
2019,48/26,11/8,26/12,5/3,6/3,-
2018,30/22,15/8,10/8,0/3,5/3,-
2017,30/25,8/7,17/13,4/3,1/2,-
2016,36/22,13/6,20/11,3/5,-,-
2015,16/18,1/6,9/9,6/3,-,-
2014,44/20,7/6,18/8,19/5,-,0/1
2013,6/6,2/3,3/2,1/1,-,-
2012,8/4,0/1,1/1,7/2,-,-
2011,1/2,-,1/2,-,-,-
