Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,123/132,33/47,66/45,24/40,-,-
2024,0/6,0/4,-,0/2,-,-
2023,9/8,8/7,-,1/1,-,-
2022,5/5,3/3,-,2/2,-,-
2021,11/21,4/9,0/2,7/10,-,-
2020,12/9,-,3/2,9/7,-,-
2019,30/25,6/7,24/14,0/4,-,-
2018,15/11,6/4,9/5,0/2,-,-
2017,4/6,-,1/4,3/2,-,-
2016,19/16,5/4,14/10,0/2,-,-
2015,13/7,0/2,12/3,1/2,-,-
2014,1/4,1/1,0/3,-,-,-
2013,4/6,0/2,3/2,1/2,-,-
2012,0/4,0/3,-,0/1,-,-
2011,0/3,0/1,-,0/2,-,-
2010,0/1,-,-,0/1,-,-
