Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,438/306,261/164,63/50,110/73,3/15,1/4
2024,30/28,23/14,4/3,3/7,0/4,-
2023,51/36,37/20,1/4,11/7,2/5,-
2022,52/23,41/16,5/5,6/2,-,-
2021,6/2,-,-,6/2,-,-
2020,38/32,25/19,5/6,7/3,-,1/4
2019,48/31,16/15,9/3,23/11,0/2,-
2018,38/37,24/19,7/8,7/8,0/2,-
2017,58/22,38/12,16/7,4/3,-,-
2016,32/31,10/13,13/10,9/7,0/1,-
2015,49/33,25/18,0/2,23/12,1/1,-
2014,22/13,15/7,3/2,4/4,-,-
2013,12/11,6/6,-,6/5,-,-
2012,2/7,1/5,-,1/2,-,-
