Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,18/13,18/12,-,0/1,-,-
2024,5/3,5/3,-,-,-,-
2023,5/4,5/4,-,-,-,-
2022,8/6,8/5,-,0/1,-,-
