Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/22,-,32/22,-,-,-
2024,15/7,-,15/7,-,-,-
2023,9/11,-,9/11,-,-,-
2022,8/4,-,8/4,-,-,-
