Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,294/224,227/153,55/56,2/7,-,10/8
2024,25/25,16/12,8/12,1/1,-,-
2023,24/34,11/17,6/14,-,-,7/3
2022,37/26,24/14,11/10,-,-,2/2
2021,40/22,34/21,6/1,-,-,-
2020,6/4,6/4,-,-,-,-
2019,30/26,23/17,6/6,1/2,-,0/1
2018,22/24,21/18,0/1,0/4,-,1/1
2017,44/18,39/14,5/4,-,-,-
2016,37/18,26/11,11/6,-,-,0/1
2015,1/6,1/6,-,-,-,-
2014,5/10,4/9,1/1,-,-,-
2013,14/6,13/5,1/1,-,-,-
2012,9/5,9/5,-,-,-,-
