Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Fernandes R.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0']","['2', '0', '6', '2']",[],[],+6
19.08.,Vylegzhanin N.,1,,,,,,[],"['1', '2', '5', '4']",[],[],[],1.81
14.08.,Barroso Campos A.,2,,,,,,[],"['3', '2', '4', '3']","['1', '0', '3', '2', '5', '4']",[],[],21.0
14.08.,Vylegzhanin N.,1,,,,,,"['6', '4']","['3', '3']","['1', '1', '4', '4', '5', '5']",[],[],1.76
13.08.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1', '5', '1']",[],[],[],-
13.08.,Portugal J.,0,,,,,,[],"['1', '0']",[],[],[],-
07.08.,Pedrico Kravtsov A.,2,,,,,,[],"['1', '0', '3', '0']","['1', '0', '5', '4', '6', '5']",[],[],20.5
07.08.,Vylegzhanin N.,1,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['3', '3', '5', '5']",[],[],1.65
06.08.,Vylegzhanin N.,2,,,,,,"['2', '0', '6', '2']","['3', '1', '5', '1']",[],[],[],-
06.08.,Arauzo S.,0,,,,,,[],"['2', '5']",[],[],[],-
05.08.,Vylegzhanin N.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '4', '1', '5', '2']",[],[],[],-
05.08.,Lara Salmeron D.,0,,,,,,[],"['2', '4']",[],[],[],11.70
19.07.,Bailly G. A.,2,,,,,,"['1', '5']","['1', '0', '2', '1', '4', '1', '5', '2']","['1', '2', '3', '2', '5', '2']",[],[],1.32
19.07.,Vylegzhanin N.,1,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['1', '1', '2', '4']","['2', '0']",[],[],3.14
18.07.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['2', '0', '3', '1', '5', '1', '6', '2']",[],[],1.11
18.07.,Bellegy A.,1,,,,,,[],"['3', '2']","['1', '2', '2', '5']",[],[],5.55
17.07.,Vylegzhanin N.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1', '6', '2']",[],[],[],1.28
17.07.,Tessa L.,0,,,,,,"['1', '1']","['1', '0', '2', '5']",[],[],[],3.40
15.07.,Vylegzhanin N.,2,,,,,,"['5', '5']","['2', '0', '4', '0']","['1', '0', '2', '1', '4', '3', '5', '4']",[],[],1.08
15.07.,Livet Novkirichka F.,1,,,,,,"['2', '1', '6', '5']",[],"['1', '1', '3', '3', '4', '4']",[],[],6.45
10.07.,Faurel T.,2,,,,,,"['2', '1', '4', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.66
10.07.,Vylegzhanin N.,0,,,,,,"['2', '2', '4', '4']",[],[],[],[],2.11
08.07.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.02
08.07.,Tailleu P. A.,0,,,,,,"['1', '2']","['1', '3']",[],[],[],10.20
29.06.,Visker N.,2,,,,,,7,4,65%,78% (29/37),45% (9/20),50% (1/2),41% (16/39),42% (10/24),100% (3/3),67% (38/57),41% (26/63),53% (64/120),5,0,90% (9/10),30% (3/10),60% (12/20),"['2', '1', '5', '4']","['3', '2']",[],[],[],3.04
29.06.,Vylegzhanin N.,0,,,,,,1,2,62%,59% (23/39),58% (14/24),0% (0/3),22% (8/37),55% (11/20),50% (1/2),59% (37/63),33% (19/57),47% (56/120),5,0,70% (7/10),10% (1/10),40% (8/20),"['4', '4']",[],[],[],[],1.35
25.06.,Tabacco G.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '2', '6', '2']",[],[],[],-
25.06.,Vylegzhanin N.,0,,,,,,[],"['1', '2']",[],[],[],-
15.06.,De Schepper K.,2,,,,,,10,2,68%,79% (30/38),50% (9/18),100% (7/7),44% (21/48),48% (11/23),36% (4/11),70% (39/56),45% (32/71),56% (71/127),6,0,100% (8/8),44% (4/9),71% (12/17),"['2', '1', '5', '2']","['2', '1', '6', '3']",[],[],[],2.46
15.06.,Vylegzhanin N.,0,,,,,,0,5,68%,56% (27/48),52% (12/23),64% (7/11),21% (8/38),50% (9/18),0% (0/7),55% (39/71),30% (17/56),44% (56/127),4,2,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.51
11.06.,Deschamps T.,2,,,,,,"['1', '1', '3', '3', '4', '4', '6', '4']",[],"['2', '5', '4', '5', '6', '5']",[],[],3.26
11.06.,Vylegzhanin N.,1,,,,,,"['1', '0', '2', '1', '4', '3']","['2', '1', '6', '3']","['2', '0', '5', '1']",[],[],1.30
10.06.,Vylegzhanin N.,2,,,,,,"['6', '4']","['4', '4', '7', '5']",[],[],[],1.21
10.06.,Pietri B.,0,,,,,,[],"['4', '3']",[],[],[],4.04
06.06.,Coppejans K.,2,,,,,,"['3', '4', '5', '4']","['2', '3', '4', '5', '6', '5']",[],[],[],1.14
06.06.,Vylegzhanin N.,0,,,,,,"['3', '1']","['2', '0', '5', '3']",[],[],[],4.80
05.06.,Vylegzhanin N.,2,,,,,,"['2', '0', '3', '1', '4', '4', '6', '4']",[],"['2', '0', '5', '1']",[],[],2.12
05.06.,Sels J.,1,,,,,,"['1', '2', '2', '3', '4', '3']","['1', '0', '3', '0']",[],[],[],1.61
04.06.,Vylegzhanin N.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '6', '2']",[],[],[],3.46
04.06.,Erhard M.,0,,,,,,"['1', '5']",[],[],[],[],1.27
03.06.,Vylegzhanin N.,2,,,,,,"['2', '0', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.64
03.06.,Massard L.,0,,,,,,[],[],[],[],[],2.15
26.04.,Tabur C.,2,,,,,,"['4', '3']","['1', '0', '2', '1', '5', '2']",[],[],[],1.25
26.04.,Vylegzhanin N.,0,,,,,,[],"['1', '1']",[],[],[],3.62
25.04.,Vylegzhanin N.,2,,,,,,"['2', '4', '4', '4', '7', '5']","['2', '0', '7', '5']",[],[],[],2.30
25.04.,Lamasine T.,0,,,,,,"['1', '0', '3', '0']","['2', '3']",[],[],[],1.56
24.04.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0']","['2', '1', '5', '4']",[],[],[],3.40
24.04.,Radulov I.,0,,,,,,[],"['3', '3']",[],[],[],1.28
23.04.,Vylegzhanin N.,2,,,,,,"['2', '4']","['3', '3', '5', '3', '6', '4']","['2', '0', '5', '1']",[],[],1.65
23.04.,Loge J.,1,,,,,,"['2', '1', '4', '1']","['2', '1', '4', '5']","['2', '5']",[],[],2.13
10.04.,Gadamauri B.,2,,,,,,"['2', '1']","['3', '3', '7', '5']","['6', '6']",[],[],2.44
10.04.,Vylegzhanin N.,1,,,,,,"['2', '2', '4', '2']","['2', '1']","['6', '5']",[],[],1.50
09.04.,Vylegzhanin N.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '2', '3', '4', '3', '6', '5']",[],[],[],1.07
09.04.,Elamin A.,0,,,,,,"['3', '4']","['1', '1', '3', '1', '4', '4']",[],[],[],6.75
25.03.,Rosenkranz M.,2,,,,,,"['2', '0', '4', '0']","['4', '3', '6', '3']",[],[],[],1.72
25.03.,Vylegzhanin N.,0,,,,,,[],[],[],[],[],2.00
16.03.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0']","['2', '3']","['4', '4', '6', '6']",[],[],2.32
16.03.,Perot R.,1,,,,,,"['2', '5']","['3', '1', '4', '2']","['4', '3', '6', '5']",[],[],1.55
15.03.,Vylegzhanin N.,2,,,,,,[],"['1', '1', '3', '1', '6', '2']","['4', '2', '6', '2']",[],[],1.51
15.03.,Raynel A.,1,,,,,,"['2', '1', '5', '2']","['1', '0']",[],[],[],2.50
14.03.,Vylegzhanin N.,2,,,,,,"['2', '0']","['1', '0', '4', '3', '6', '5']",[],[],[],2.30
14.03.,Lamasine T.,0,,,,,,[],"['2', '2', '4', '4']",[],[],[],1.56
13.03.,Vylegzhanin N.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.23
13.03.,Freire Da Silva A.,0,,,,,,"['2', '4', '3', '5']",[],[],[],[],3.79
12.03.,Vylegzhanin N.,2,,,,,,"['2', '1']","['5', '4']",[],[],[],2.24
12.03.,Colson T.,0,,,,,,[],"['5', '5']",[],[],[],1.59
09.03.,Carboni L.,2,,,,,,"['1', '0', '4', '1']",[],"['1', '1', '3', '1', '4', '2']",[],[],2.03
09.03.,Vylegzhanin N.,1,,,,,,[],"['2', '0', '4', '0']","['1', '0', '2', '3']",[],[],1.70
08.03.,Vylegzhanin N.,2,,,,,,"['3', '1', '5', '1']","['5', '4']",[],[],[],2.09
08.03.,Potenza L.,0,,,,,,[],[],[],[],[],1.68
08.03.,Vylegzhanin N.,1,,,,,,"['2', '2', '4', '4']","['1', '0', '4', '3']",[],[],[],1.69
08.03.,Benchetrit E.,1,,,,,,"['1', '0', '3', '2']","['1', '1']",[],[],[],2.04
07.03.,Vylegzhanin N.,2,,,,,,"['2', '1', '4', '3']","['1', '0', '6', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.07
07.03.,Fondriest M.,1,,,,,,"['2', '2', '4', '4', '6', '4']","['5', '5', '6', '6']",[],[],[],7.50
04.03.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
04.03.,Misasi G.,0,,,,,,[],[],[],[],[],6.15
25.02.,Djuric B.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '4', '3', '6', '3']",[],[],[],1.95
25.02.,Vylegzhanin N.,0,,,,,,"['2', '3']","['3', '3']",[],[],[],1.76
16.02.,Cachin P.,2,,,,,,7,2,62%,80% (45/56),54% (19/35),100% (6/6),23% (14/61),60% (26/43),0% (0/4),70% (64/91),38% (39/103),53% (103/194),9,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],1.45
16.02.,Vylegzhanin N.,0,,,,,,6,9,59%,77% (47/61),40% (17/43),100% (4/4),20% (11/56),46% (16/35),0% (0/6),62% (64/103),30% (27/91),47% (91/194),1,0,100% (12/12),0% (0/12),50% (12/24),[],[],[],[],[],2.48
02.02.,Negritu Ch.,2,,,,,,12,0,66%,70% (47/67),53% (18/34),25% (1/4),26% (15/58),57% (24/42),27% (3/11),64% (65/101),39% (39/100),52% (104/201),4,0,81% (13/16),20% (3/15),52% (16/31),"['3', '2']",[],"['2', '0', '3', '1']",[],[],1.30
02.02.,Vylegzhanin N.,1,,,,,,2,7,58%,74% (43/58),43% (18/42),73% (8/11),30% (20/67),47% (16/34),75% (3/4),61% (61/100),36% (36/101),48% (97/201),6,0,80% (12/15),19% (3/16),48% (15/31),"['3', '3']","['5', '4']","['1', '2']",[],[],3.33
22.01.,Vylegzhanin N.,2,,,,,,"['2', '0', '4', '4', '6', '4']","['2', '0', '4', '0']",[],[],[],2.04
22.01.,Kopp S.,0,,,,,,"['2', '3', '4', '3']",[],[],[],[],1.66
