Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,133/97,33/38,53/33,47/26,-,-
2024,23/19,2/7,11/5,10/7,-,-
2023,38/23,8/8,4/5,26/10,-,-
2022,34/19,10/6,18/8,6/5,-,-
2021,5/2,-,5/2,-,-,-
2020,5/5,-,5/5,-,-,-
2019,11/16,5/9,1/3,5/4,-,-
2018,5/4,2/1,3/3,-,-,-
2017,12/9,6/7,6/2,-,-,-
