Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,574/311,314/178,215/85,19/36,5/3,21/9
2024,16/19,6/10,7/5,3/3,-,0/1
2023,33/27,23/15,7/7,1/2,0/1,2/2
2022,38/27,18/14,10/7,3/5,5/1,2/0
2021,35/26,25/16,8/6,1/2,0/1,1/1
2020,27/14,20/9,2/1,3/4,-,2/0
2019,42/21,28/12,12/4,1/4,-,1/1
2018,65/20,42/16,18/2,1/2,-,4/0
2017,53/23,44/18,4/2,2/3,-,3/0
2016,43/25,19/14,24/8,0/1,-,0/2
2015,58/21,18/9,34/7,2/4,-,4/1
2014,40/21,7/6,33/11,0/4,-,-
2013,37/20,16/10,20/9,0/1,-,1/0
2012,50/24,17/9,31/14,2/1,-,-
2011,31/14,25/11,5/2,-,-,1/1
2010,4/6,4/6,-,-,-,-
2009,2/3,2/3,-,-,-,-
