Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,395/326,226/144,77/93,66/60,10/11,16/18
2024,14/23,6/9,4/11,0/1,3/1,1/1
2023,42/41,24/17,10/13,6/7,1/1,1/3
2022,39/32,20/15,12/11,1/3,2/2,4/1
2021,35/29,20/11,9/9,4/7,0/1,2/1
2020,13/12,11/6,1/4,1/1,-,0/1
2019,30/28,20/16,3/4,7/5,0/1,0/2
2018,39/28,12/9,13/9,12/6,0/2,2/2
2017,35/28,18/14,5/8,8/5,1/1,3/0
2016,32/28,28/19,0/3,4/4,-,0/2
2015,35/30,17/13,11/8,3/6,3/2,1/1
2014,53/28,42/10,4/9,6/6,-,1/3
2013,28/17,8/5,5/4,14/7,-,1/1
2012,0/2,-,-,0/2,-,-
