Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,516/357,111/78,268/194,100/45,26/30,11/10
2024,27/19,3/5,20/11,3/1,1/2,-
2023,24/17,15/7,6/8,3/2,-,-
2022,2/4,0/2,2/1,0/1,-,-
2021,27/19,10/3,12/11,3/3,2/2,-
2020,13/9,3/4,8/4,-,-,2/1
2019,26/22,1/4,14/14,7/3,0/1,4/0
2018,22/25,8/4,7/13,5/4,1/3,1/1
2017,41/24,8/3,30/15,1/2,2/3,0/1
2016,26/24,3/4,13/14,6/3,4/3,-
2015,35/24,3/5,20/13,9/1,2/2,1/3
2014,26/20,4/5,11/13,10/0,1/2,-
2013,33/23,7/4,21/13,5/4,0/1,0/1
2012,21/25,7/7,11/13,0/1,3/2,0/2
2011,41/21,10/4,26/13,1/2,1/2,3/0
2010,40/22,5/4,32/14,1/2,2/2,-
2009,27/23,4/5,20/13,1/2,2/2,0/1
2008,49/16,14/5,8/7,22/2,5/2,-
2007,13/13,1/3,5/3,7/6,0/1,-
2006,21/5,5/0,2/1,14/4,-,-
2005,2/2,-,-,2/2,-,-
