Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ITF MEN - SINGLES :  M15 Metzingen (Germany),clay,header
23.07. 17:35,Marysko V.,0,3,2,,,,[],[],[],[],[],6.80
23.07. 17:35,Naw H.,2,6,6,,,,"['5', '3']","['1', '0', '5', '2']",[],[],[],1.08
ITF MEN - SINGLES :  M15 Uslar (Germany),clay,header
18.07. 15:35,Marysko V.,0,4,2,,,,"['2', '0']",[],[],[],[],3.31
18.07. 15:35,Falabella L. A.,2,6,6,,,,"['2', '3', '5', '4']","['2', '1', '5', '2']",[],[],[],1.30
17.07. 17:00,Marysko V.,2,6,6,,,,"['2', '3', '4', '3', '6', '3']","['4', '2', '6', '2']",[],[],[],1.54
17.07. 17:00,Kelm Y.,0,3,2,,,,"['2', '0']",[],[],[],[],2.36
ITF MEN - SINGLES :  M25 Kassel (Germany),clay,header
11.07. 18:45,Marysko V.,0,2,3,,,,[],[],[],[],[],8.25
11.07. 18:45,Sultanov K.,2,6,6,,,,"['2', '0', '6', '2']","['3', '1']",[],[],[],1.05
10.07. 17:50,Marysko V.,2,6,6,,,,"['1', '0', '3', '0', '5', '0']","['1', '2', '3', '2']",[],[],[],2.75
10.07. 17:50,Donald M.,0,0,4,,,,[],"['2', '0']",[],[],[],1.41
ITF MEN - SINGLES :  M25 Marburg (Germany),clay,header
03.07. 13:10,Marysko V.,0,3,4,,,,[],[],[],[],[],5.24
03.07. 13:10,Visker N.,2,6,6,,,,"['3', '1']","['5', '4']",[],[],[],1.14
ITF MEN - SINGLES :  M15 Kamen (Germany),clay,header
25.06. 16:45,Marysko V.,0,2,1,,,,[],[],[],[],[],3.86
25.06. 16:45,Poertner L.,2,6,6,,,,"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.23
ITF MEN - SINGLES :  M15 Saarlouis (Germany),clay,header
19.06. 17:50,Marysko V.,1,7^7,4,4,,,"['1', '0', '3', '0']","['2', '2']",[],[],[],1.70
19.06. 17:50,Tresca G.,2,6^4,6,6,,,"['2', '4', '4', '4']","['2', '1', '5', '4']","['1', '0']",[],[],2.07
CHALLENGER MEN - SINGLES :  Augsburg (Germany) - Qualification,clay,header
19.05. 16:50,Marysko V.,0,2,1,,,,5,4,57%,59% (19/32),38% (9/24),33% (2/6),18% (5/28),42% (8/19),0% (0/2),4,50% (28/56),28% (13/47),40% (41/103),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],7.34
19.05. 16:50,Dutra Da Silva D.,2,6,6,,,,4,3,60%,82% (23/28),58% (11/19),100% (2/2),41% (13/32),63% (15/24),67% (4/6),5,72% (34/47),50% (28/56),60% (62/103),7,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],1.08
ITF MEN - SINGLES :  M15 Meerbusch (Germany),clay,header
25.04. 14:50,Marysko V.,0,4,2,,,,"['3', '3']",[],[],[],[],2.83
25.04. 14:50,Zahraj P.,2,6,6,,,,"['3', '2', '5', '4']","['2', '1', '5', '2']",[],[],[],1.39
CHALLENGER MEN - SINGLES :  Hamburg (Germany) - Qualification,hard,header
11.03. 14:40,Marysko V.,1,6,0,1,,,1,3,55%,67% (22/33),33% (9/27),0% (0/5),18% (7/40),59% (10/17),33% (2/6),5,52% (31/60),30% (17/57),41% (48/117),3,50% (5/10),18% (2/11),33% (7/21),"['2', '1', '5', '2']",[],[],[],[],2.59
