Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/19,6/6,2/2,13/11,-,-
2024,12/11,5/4,2/1,5/6,-,-
2023,9/5,1/1,-,8/4,-,-
2022,0/3,0/1,0/1,0/1,-,-
