Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,22/30,21/22,0/4,-,-,1/4
2024,4/5,4/5,-,-,-,-
2023,4/4,4/4,-,-,-,-
2022,3/9,3/6,-,-,-,0/3
2021,1/0,-,-,-,-,1/0
2018,0/3,-,0/2,-,-,0/1
2016,0/2,-,0/2,-,-,-
2015,7/4,7/4,-,-,-,-
2014,3/3,3/3,-,-,-,-
