Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,416/284,104/73,166/107,112/77,27/20,7/7
2024,23/18,8/4,12/10,2/1,1/3,-
2023,34/18,10/5,18/10,6/3,-,-
2022,36/25,9/7,17/11,6/5,4/2,-
2021,35/24,5/6,17/9,8/6,5/3,-
2020,22/20,5/5,13/8,4/7,-,-
2019,33/31,7/6,15/12,3/6,5/4,3/3
2018,47/26,6/5,16/13,18/4,5/4,2/0
2017,29/32,13/8,9/13,1/7,5/2,1/2
2016,51/28,22/11,13/5,14/11,2/1,-
2015,57/24,11/7,21/6,25/9,0/1,0/1
2014,36/27,6/7,15/10,15/9,-,0/1
2013,8/6,-,-,7/6,-,1/0
2012,5/4,2/1,-,3/3,-,-
2011,0/1,0/1,-,-,-,-
