Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/64,66/48,21/12,-,-,4/4
2024,32/16,32/16,-,-,-,-
2023,27/23,21/19,5/3,-,-,1/1
2022,22/13,12/8,10/5,-,-,-
2021,9/8,1/3,5/2,-,-,3/3
2020,0/2,0/2,-,-,-,-
2019,1/1,-,1/1,-,-,-
2018,0/1,-,0/1,-,-,-
