Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/50,29/38,3/5,-,-,14/7
2024,16/15,16/15,-,-,-,-
2023,19/21,5/13,3/4,-,-,11/4
2022,11/14,8/10,0/1,-,-,3/3
