Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,695/469,253/194,326/176,75/69,19/21,22/9
2024,15/9,15/8,0/1,-,-,-
2023,27/18,18/13,7/3,-,-,2/2
2022,24/28,17/25,0/1,7/2,-,-
2021,23/32,23/30,0/1,0/1,-,-
2020,7/9,6/6,1/3,-,-,-
2019,36/20,21/11,15/9,-,-,-
2018,28/17,22/9,6/7,-,0/1,-
2017,53/32,27/13,23/17,-,1/1,2/1
2016,28/29,4/10,17/11,4/6,0/1,3/1
2015,37/32,10/8,12/9,10/11,1/4,4/0
2014,52/27,11/7,13/8,22/10,6/2,-
2013,57/25,9/7,46/14,2/4,-,-
2012,38/32,7/11,26/15,1/3,1/2,3/1
2011,40/38,18/11,20/15,1/10,1/2,-
2010,44/28,12/5,18/12,7/6,6/3,1/2
2009,48/25,3/2,34/12,8/7,3/4,-
2008,51/24,13/6,21/7,13/9,0/1,4/1
2007,61/24,11/7,47/16,-,-,3/1
2006,14/10,3/2,11/8,-,-,-
2005,11/5,3/2,8/3,-,-,-
2004,0/3,-,0/3,-,-,-
2003,1/1,-,1/1,-,-,-
2002,0/1,0/1,-,-,-,-
