Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,358/251,52/54,218/147,21/16,53/29,14/5
2024,6/6,-,4/4,-,2/2,-
2022,0/2,0/1,0/1,-,-,-
2021,25/22,5/6,17/11,2/2,1/3,-
2020,10/10,1/4,9/4,-,-,0/2
2019,38/25,1/1,29/17,-,5/5,3/2
2018,31/24,8/8,19/12,1/2,0/1,3/1
2017,40/19,6/2,25/14,-,9/3,-
2016,15/15,7/5,6/9,-,0/1,2/0
2015,22/27,3/6,11/17,-,5/4,3/0
2014,42/22,2/5,33/14,-,7/3,-
2013,34/22,0/1,21/16,0/2,13/3,-
2012,22/14,-,10/8,6/3,6/3,-
2011,21/15,1/3,14/11,3/1,-,3/0
2010,24/15,8/8,8/4,8/3,-,-
2009,22/10,10/3,7/5,0/1,5/1,-
2008,6/2,0/1,5/0,1/1,-,-
2007,0/1,-,-,0/1,-,-
