Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/19,-,19/18,0/1,-,-
2024,8/8,-,8/7,0/1,-,-
2023,7/10,-,7/10,-,-,-
2022,4/1,-,4/1,-,-,-
