Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,720/432,293/145,260/146,108/91,35/35,24/15
2024,6/14,5/10,0/3,-,1/1,-
2023,29/24,11/8,8/6,6/7,2/1,2/2
2022,12/17,2/5,0/3,9/6,1/3,-
2021,3/3,-,3/2,0/1,-,-
2020,22/8,9/2,8/3,5/3,-,-
2019,33/21,8/5,13/8,10/6,2/2,-
2018,17/17,1/3,8/6,6/5,2/3,-
2017,26/11,12/4,14/5,-,0/2,-
2016,46/20,12/4,26/8,7/6,1/2,-
2015,57/21,13/4,26/10,12/5,5/2,1/0
2014,39/20,5/3,20/10,3/4,7/2,4/1
2013,53/24,24/7,17/9,6/5,4/2,2/1
2012,39/21,19/8,17/8,1/2,1/2,1/1
2011,36/21,11/8,18/7,3/3,1/2,3/1
2010,41/20,21/5,14/9,5/3,0/1,1/2
2009,38/22,17/8,14/10,2/2,3/1,2/1
2008,38/21,14/6,16/10,1/4,3/1,4/0
2007,21/24,5/7,9/8,7/4,0/3,0/2
2006,33/24,11/7,11/9,7/4,2/3,2/1
2005,42/25,21/7,10/7,9/7,0/2,2/2
2004,39/27,29/14,4/3,6/9,-,0/1
2003,40/17,35/12,2/1,3/4,-,-
2002,10/10,8/8,2/1,0/1,-,-
