Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/68,49/49,17/14,2/5,-,-
2024,19/21,19/21,-,-,-,-
2023,26/23,20/14,6/7,0/2,-,-
2022,17/16,7/11,10/4,0/1,-,-
2021,2/4,1/1,1/3,-,-,-
2020,2/3,2/2,-,0/1,-,-
2019,2/1,-,-,2/1,-,-
