Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/36,36/29,6/7,-,-,-
2024,28/18,22/12,6/6,-,-,-
2023,14/17,14/16,0/1,-,-,-
2022,0/1,0/1,-,-,-,-
