Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,25/16,1/1,24/15,-,-,-
2024,6/5,-,6/5,-,-,-
2023,10/5,-,10/5,-,-,-
2022,4/3,-,4/3,-,-,-
2021,4/2,-,4/2,-,-,-
2018,1/1,1/1,-,-,-,-
