Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Kang K.,2,,,,,,"['2', '1', '4', '3']","['2', '3']","['4', '2']",[],[],1.26
09.07.,Tripathi A.,1,,,,,,"['2', '2']","['3', '1']",[],[],[],3.54
01.08.2024,Kang K.,2,,,,,,[],"['2', '0', '3', '1', '6', '2']","['2', '0', '4', '0']",[],[],1.45
01.08.2024,Tripathi A.,1,,,,,,"['2', '0', '4', '0']","['1', '2']",[],[],[],2.61
31.07.2024,Tripathi A.,2,,,,,,"['4', '4', '5', '5', '7', '5']","['2', '2', '7', '5']",[],[],[],2.06
31.07.2024,Clark E.,0,,,,,,"['4', '3', '5', '4']","['1', '0']",[],[],[],1.69
10.07.2024,Brumm J.,2,,,,,,"['2', '2', '4', '2', '5', '3']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.85
10.07.2024,Tripathi A.,0,,,,,,"['1', '0', '3', '4']","['1', '1']",[],[],[],1.87
21.06.2024,Hara Friend J. D.,2,,,,,,"['1', '1']","['2', '0', '4', '0']","['2', '3']",[],[],1.65
21.06.2024,Tripathi A.,1,,,,,,"['1', '0', '3', '2']","['2', '5']","['2', '0']",[],[],2.15
20.06.2024,Tripathi A.,2,,,,,,[],"['4', '4', '5', '5', '7', '5']","['2', '0']",[],[],3.86
20.06.2024,Kirchheimer S.,1,,,,,,"['1', '0', '5', '2']","['1', '0', '5', '4']",[],[],[],1.23
19.06.2024,Tripathi A.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '2', '7', '5']",[],[],[],4.75
19.06.2024,Smith C.,0,,,,,,[],"['2', '1']",[],[],[],1.16
