Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/15,-,12/10,-,-,8/5
2024,9/4,-,9/4,-,-,-
2022,8/5,-,-,-,-,8/5
2021,3/6,-,3/6,-,-,-
