Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/29,1/3,20/26,-,-,-
2024,12/15,1/1,11/14,-,-,-
2023,9/13,0/1,9/12,-,-,-
2022,0/1,0/1,-,-,-,-
