Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/19,13/8,17/9,2/2,-,-
2024,12/10,8/6,4/4,-,-,-
2023,14/6,-,12/4,2/2,-,-
2022,6/3,5/2,1/1,-,-,-
