Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
01.11.2024,Borg L.,2,,,,,,"['6', '5']","['3', '2']",[],[],[],1.36
01.11.2024,Shyla Y.,0,,,,,,[],[],[],[],[],2.94
31.10.2024,Shyla Y.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],-
31.10.2024,Abdullin A.,0,,,,,,[],[],[],[],[],-
30.10.2024,Shyla Y.,2,,,,,,[],[],"['3', '2']",[],[],4.28
30.10.2024,Bertran P.,1,,,,,,"['1', '0', '4', '1']",[],[],[],[],1.19
10.05.2020,Shyla Y.,2,,,,,,[],"['2', '2', '5', '3', '6', '4']","['2', '0', '5', '5']",[],[],1.21
10.05.2020,Volodkevich I.,1,,,,,,"['1', '0']","['2', '1', '4', '5']","['1', '2', '4', '3']",[],[],4.38
10.05.2020,Shyla Y.,2,,,,,,"['4', '5']","['3', '1', '6', '4']",[],[],[],1.08
10.05.2020,Filin P.,0,,,,,,"['3', '1']","['3', '4']",[],[],[],7.90
08.05.2020,Shyla Y.,2,,,,,,"['3', '2']",[],"['3', '3', '6', '4']",[],[],-
08.05.2020,Narkevich Y.,1,,,,,,[],"['3', '1']","['2', '1']",[],[],-
07.05.2020,Shyla Y.,2,,,,,,"['6', '4']","['2', '0', '4', '0', '6', '2']",[],[],[],-
07.05.2020,Volodkevich I.,0,,,,,,[],"['2', '5']",[],[],[],-
06.05.2020,Shyla Y.,2,,,,,,[],[],[],[],[],1.53
06.05.2020,Narkevich Y.,0,,,,,,[],[],[],[],[],2.44
03.05.2020,Shyla Y.,2,,,,,,"['6', '4']","['3', '3']","['5', '4']",[],[],1.50
03.05.2020,Liutarevich I.,1,,,,,,[],"['1', '0']",[],[],[],2.54
30.04.2020,Shyla Y.,2,,,,,,"['3', '1']","['2', '3']",[],[],[],-
30.04.2020,Bardzin A.,0,,,,,,[],"['2', '0']",[],[],[],-
25.04.2020,Shyla Y.,2,,,,,,"['1', '1', '7', '5']","['2', '0', '5', '1']",[],[],[],-
25.04.2020,Golinko A.,0,,,,,,"['1', '0']",[],[],[],[],-
25.04.2020,Shyla Y.,2,,,,,,[],"['5', '3', '7', '5']","['5', '3']",[],[],1.36
25.04.2020,Dubarenco M.,1,,,,,,"['2', '0', '5', '1']","['4', '5']",[],[],[],3.12
