Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,320/200,85/56,144/86,88/55,-,3/3
2024,6/1,6/1,-,-,-,-
2021,25/12,17/9,-,8/3,-,-
2020,31/14,9/3,17/9,5/2,-,-
2019,7/3,3/1,4/2,-,-,-
2018,21/17,0/1,16/12,5/3,-,0/1
2017,37/23,1/2,25/14,10/6,-,1/1
2016,29/17,-,20/7,7/9,-,2/1
2015,37/28,17/11,13/11,7/6,-,-
2014,43/22,5/5,17/9,21/8,-,-
2013,21/17,5/5,11/9,5/3,-,-
2012,39/24,15/8,9/7,15/9,-,-
2011,14/8,2/2,9/4,3/2,-,-
2010,6/6,5/4,-,1/2,-,-
2009,1/2,-,-,1/2,-,-
2008,3/3,0/2,3/1,-,-,-
2007,0/3,0/2,0/1,-,-,-
