Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,127/87,69/46,7/4,-,-,51/37
2024,32/19,24/12,-,-,-,8/7
2023,40/25,18/13,6/3,-,-,16/9
2022,32/26,14/14,1/1,-,-,17/11
2021,23/17,13/7,-,-,-,10/10
