Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,645/490,199/162,213/154,202/141,30/31,1/2
2024,2/0,2/0,-,-,-,-
2023,36/24,10/5,21/12,5/7,-,-
2022,16/28,2/6,6/10,5/8,3/4,-
2021,36/27,6/8,9/4,16/11,5/3,0/1
2020,9/11,4/4,5/6,0/1,-,-
2019,24/36,4/7,9/16,10/8,1/5,-
2018,32/26,11/7,14/13,7/5,0/1,-
2017,46/26,2/3,14/11,20/7,10/5,-
2016,35/26,5/4,14/11,12/7,4/4,-
2015,25/22,3/5,17/11,2/3,3/3,-
2014,38/29,6/10,17/9,12/7,2/2,1/1
2013,41/29,16/8,11/10,13/10,1/1,-
2012,37/30,13/13,15/7,9/9,0/1,-
2011,57/28,30/14,11/5,16/9,-,-
2010,28/27,13/13,10/6,4/7,1/1,-
2009,49/28,21/11,5/5,23/12,-,-
2008,49/34,10/15,16/5,23/13,0/1,-
2007,46/28,27/17,8/4,11/7,-,-
2006,38/25,14/9,10/7,14/9,-,-
2005,1/6,0/3,1/2,0/1,-,-
