Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.11.2023,Mayot H.,2,,,,,,5,1,55%,64% (30/47),53% (20/38),56% (5/9),29% (12/41),60% (27/45),42% (5/12),59% (50/85),45% (39/86),52% (89/171),71% (10/14),38% (5/13),56% (15/27),"['2', '0', '5', '1']","['2', '3']","['2', '2', '4', '2']",[],[],1.43
04.11.2023,Gojowczyk P.,1,,,,,,5,11,48%,71% (29/41),40% (18/45),58% (7/12),43% (20/47),47% (18/38),44% (4/9),55% (47/86),41% (35/85),48% (82/171),62% (8/13),29% (4/14),44% (12/27),"['2', '5']","['2', '0', '4', '2']","['2', '1']",[],[],2.71
10.10.2023,Ivanovski K.,2,,,,,,9,0,70%,79% (31/39),71% (12/17),0% (0/0),39% (18/46),51% (19/37),22% (2/9),77% (43/56),45% (37/83),58% (80/139),100% (10/10),20% (2/10),60% (12/20),[],"['2', '1', '4', '1']",[],[],[],2.18
10.10.2023,Gojowczyk P.,0,,,,,,2,2,55%,61% (28/46),49% (18/37),78% (7/9),21% (8/39),29% (5/17),0% (0/0),55% (46/83),23% (13/56),42% (59/139),80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.64
09.10.2023,Gojowczyk P.,2,,,,,,4,2,62%,81% (30/37),39% (9/23),89% (8/9),46% (19/41),67% (12/18),36% (5/14),65% (39/60),53% (31/59),59% (70/119),88% (7/8),63% (5/8),75% (12/16),"['1', '0', '4', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],1.63
09.10.2023,Santillan A.,0,,,,,,2,2,69%,54% (22/41),33% (6/18),64% (9/14),19% (7/37),61% (14/23),11% (1/9),47% (28/59),35% (21/60),41% (49/119),38% (3/8),13% (1/8),25% (4/16),[],"['2', '2']",[],[],[],2.20
08.10.2023,Gojowczyk P.,2,,,,,,8,2,56%,81% (30/37),59% (17/29),71% (5/7),43% (23/53),57% (16/28),40% (6/15),71% (47/66),48% (39/81),59% (86/147),83% (10/12),46% (6/13),64% (16/25),"['3', '4']","['2', '1', '4', '1', '6', '1']","['2', '0', '6', '2']",[],[],1.58
08.10.2023,Erel Y.,1,,,,,,5,1,65%,57% (30/53),43% (12/28),60% (9/15),19% (7/37),41% (12/29),29% (2/7),52% (42/81),29% (19/66),41% (61/147),54% (7/13),17% (2/12),36% (9/25),"['4', '2', '6', '4']",[],[],[],[],2.29
24.09.2023,Bourgue M.,2,,,,,,17,3,64%,76% (44/58),61% (20/33),50% (2/4),27% (17/62),60% (28/47),42% (5/12),70% (64/91),41% (45/109),55% (109/200),88% (14/16),31% (5/16),59% (19/32),"['2', '2', '5', '5', '7', '5']",[],"['1', '0', '3', '0']",[],[],1.65
24.09.2023,Gojowczyk P.,1,,,,,,8,7,57%,73% (45/62),40% (19/47),58% (7/12),24% (14/58),39% (13/33),50% (2/4),59% (64/109),30% (27/91),46% (91/200),69% (11/16),13% (2/16),41% (13/32),"['2', '1', '4', '3']",[],[],[],[],2.17
22.09.2023,Albot R.,2,,,,,,1,0,70%,79% (30/38),56% (9/16),0% (0/1),32% (12/37),54% (13/24),75% (3/4),72% (39/54),41% (25/61),56% (64/115),90% (9/10),30% (3/10),60% (12/20),"['1', '0', '3', '2']","['5', '4']",[],[],[],1.26
22.09.2023,Gojowczyk P.,0,,,,,,5,2,61%,68% (25/37),46% (11/24),25% (1/4),21% (8/38),44% (7/16),100% (1/1),59% (36/61),28% (15/54),44% (51/115),70% (7/10),10% (1/10),40% (8/20),"['2', '2']",[],[],[],[],3.63
19.09.2023,Gojowczyk P.,2,,,,,,1,3,48%,76% (19/25),52% (14/27),50% (2/4),47% (18/38),46% (11/24),71% (5/7),63% (33/52),47% (29/62),54% (62/114),78% (7/9),50% (5/10),63% (12/19),"['1', '0', '4', '1']","['2', '1', '4', '1', '6', '3']",[],[],[],1.35
19.09.2023,Cozbinov A.,0,,,,,,2,3,61%,53% (20/38),54% (13/24),29% (2/7),24% (6/25),48% (13/27),50% (2/4),53% (33/62),37% (19/52),46% (52/114),50% (5/10),22% (2/9),37% (7/19),"['3', '5']","['2', '4']",[],[],[],3.06
