Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/34,9/6,42/28,-,-,-
2024,23/17,7/5,16/12,-,-,-
2023,22/12,2/1,20/11,-,-,-
2022,6/5,-,6/5,-,-,-
