Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,348/291,117/125,177/117,41/37,3/5,10/7
2024,16/14,1/2,15/12,-,-,-
2023,24/23,5/5,14/13,2/3,-,3/2
2022,19/25,2/6,10/10,0/4,-,7/5
2021,5/16,1/6,4/9,0/1,-,-
2020,0/4,0/2,0/2,-,-,-
2019,23/25,8/9,13/13,2/3,-,-
2018,29/24,9/8,14/12,4/3,2/1,-
2017,40/19,2/3,38/14,0/2,-,-
2016,29/12,3/5,19/4,7/3,-,-
2015,17/9,1/3,9/3,7/3,-,-
2014,11/6,11/6,-,-,-,-
2013,8/8,5/5,2/2,1/1,-,-
2012,21/15,9/10,8/4,4/1,-,-
2011,24/21,23/19,-,1/1,0/1,-
2010,26/20,22/15,1/1,3/4,-,-
2009,36/19,2/1,29/15,4/1,1/2,-
2008,12/16,9/10,1/3,2/2,0/1,-
2007,6/11,4/8,-,2/3,-,-
2006,2/4,0/2,-,2/2,-,-
