Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,207/278,71/117,123/144,13/16,0/1,-
2024,7/7,-,7/7,-,-,-
2023,6/13,1/3,4/9,1/1,-,-
2022,14/13,4/2,10/11,-,-,-
2021,13/15,1/3,12/9,0/3,-,-
2020,6/9,1/2,0/3,5/4,-,-
2019,15/23,0/1,13/20,2/2,-,-
2018,19/22,3/8,15/12,1/2,-,-
2017,17/20,3/9,14/11,-,-,-
2016,11/24,10/21,1/2,-,0/1,-
2015,16/26,4/11,12/14,0/1,-,-
2014,26/30,13/16,13/14,-,-,-
2013,19/29,11/15,7/12,1/2,-,-
2012,27/31,12/15,12/15,3/1,-,-
2011,8/11,5/8,3/3,-,-,-
2010,1/1,1/1,-,-,-,-
2009,2/3,2/2,0/1,-,-,-
2008,0/1,-,0/1,-,-,-
