Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,23/16,22/13,-,1/3,-,-
2024,11/10,11/9,-,0/1,-,-
2023,6/2,6/2,-,-,-,-
2022,6/4,5/2,-,1/2,-,-
