Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/68,22/26,50/42,-,-,-
2024,18/14,10/9,8/5,-,-,-
2023,29/24,3/5,26/19,-,-,-
2022,18/22,6/9,12/13,-,-,-
2021,7/8,3/3,4/5,-,-,-
