Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,476/380,202/172,94/63,176/142,4/3,-
2024,24/32,7/20,0/2,17/10,-,-
2023,67/25,28/10,4/1,35/14,-,-
2022,25/28,17/19,-,8/9,-,-
2021,28/27,19/17,3/3,6/7,-,-
2020,11/16,2/6,6/3,3/7,-,-
2019,32/30,13/14,7/6,12/10,-,-
2018,53/31,23/12,12/5,18/14,-,-
2017,25/32,6/16,5/4,14/11,0/1,-
2016,32/29,13/11,3/5,13/12,3/1,-
2015,32/32,17/15,9/9,5/7,1/1,-
2014,54/32,30/14,11/4,13/14,-,-
2013,44/26,7/5,26/16,11/5,-,-
2012,22/13,11/6,5/2,6/5,-,-
2011,22/21,9/6,3/2,10/13,-,-
2010,5/6,0/1,0/1,5/4,-,-
