Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,77/60,14/7,58/49,-,5/4,-
2024,20/14,6/2,14/10,-,0/2,-
2023,18/16,-,18/16,-,-,-
2022,10/7,-,10/7,-,-,-
2021,8/10,-,8/10,-,-,-
2020,4/3,-,4/3,-,-,-
2018,16/8,7/3,4/3,-,5/2,-
2016,1/2,1/2,-,-,-,-
