Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Paris (France),hard,header
ATP - SINGLES :  Paris (France),hard,header
ATP - SINGLES :  Paris (France),hard,header
ATP - SINGLES :  Paris (France),hard,header
ATP - SINGLES :  Paris (France),hard,header
01.11. 18:40,Tsitsipas S.,0,5,4,,,,3,2,49%,71% (24/34),61% (22/36),71% (5/7),21% (9/43),28% (5/18),0% (0/1),18,28,77% (10/13),66% (46/70),23% (14/61),46% (60/131),4,0,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],3.16
01.11. 18:40,Zverev A.,2,7,6,,,,9,2,70%,79% (34/43),72% (13/18),100% (1/1),29% (10/34),39% (14/36),29% (2/7),21,21,50% (8/16),77% (47/61),34% (24/70),54% (71/131),6,0,100% (11/11),18% (2/11),59% (13/22),"['6', '5']","['2', '1']",[],[],[],1.37
31.10. 18:25,Tsitsipas S.,2,6^1,6,6,,,9,3,63%,84% (49/58),50% (17/34),100% (3/3),27% (15/55),48% (22/46),27% (3/11),23,41,68% (13/19),72% (66/92),37% (37/101),53% (103/193),5,0,100% (15/15),20% (3/15),60% (18/30),[],"['2', '1']","['2', '1', '4', '1']",[],[],0
31.10. 18:25,Cerundolo F.,1,7^7,4,2,,,3,2,54%,73% (40/55),52% (24/46),73% (8/11),16% (9/58),50% (17/34),0% (0/3),25,46,64% (9/14),63% (64/101),28% (26/92),47% (90/193),5,1,80% (12/15),0% (0/15),40% (12/30),[],[],[],[],[],0
30.10. 00:40,Tsitsipas S.,2,6,6,,,,7,5,59%,75% (27/36),56% (14/25),75% (3/4),30% (9/30),50% (9/18),75% (3/4),19,26,67% (4/6),67% (41/61),38% (18/48),54% (59/109),7,0,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['2', '1', '5', '4']",[],[],[],1.50
30.10. 00:40,Tabilo A.,0,3,4,,,,3,3,63%,70% (21/30),50% (9/18),25% (1/4),25% (9/36),44% (11/25),25% (1/4),13,27,0% (0/3),63% (30/48),33% (20/61),46% (50/109),3,1,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],2.61
28.10. 23:40,Tsitsipas S.,2,4,6,6,,,11,4,57%,80% (36/45),50% (17/34),67% (4/6),33% (17/52),41% (11/27),40% (4/10),36,45,83% (20/24),67% (53/79),35% (28/79),51% (81/158),7,0,86% (12/14),29% (4/14),57% (16/28),[],"['2', '0', '3', '1']","['1', '0', '6', '3']",[],[],1.20
28.10. 23:40,Carballes Baena R.,1,6,3,3,,,4,2,66%,67% (35/52),59% (16/27),60% (6/10),20% (9/45),50% (17/34),33% (2/6),15,21,78% (7/9),65% (51/79),33% (26/79),49% (77/158),3,1,71% (10/14),14% (2/14),43% (12/28),"['3', '2']","['1', '2']",[],[],[],4.61
ATP - SINGLES :  Basel (Switzerland),hard,header
25.10. 17:40,Tsitsipas S.,0,6^5,3,,,,9,2,63%,80% (37/46),44% (12/27),67% (4/6),12% (4/33),24% (5/21),0% (0/0),16,24,67% (8/12),67% (49/73),17% (9/54),46% (58/127),2,0,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],0
25.10. 17:40,Fils A.,2,7^7,6,,,,10,3,61%,88% (29/33),76% (16/21),0% (0/0),20% (9/46),56% (15/27),33% (2/6),24,18,83% (5/6),83% (45/54),33% (24/73),54% (69/127),8,0,100% (10/10),18% (2/11),57% (12/21),[],"['3', '2', '6', '3']",[],[],[],0
24.10. 17:40,Tsitsipas S.,2,7^7,7,,,,8,2,65%,73% (37/51),57% (16/28),80% (4/5),28% (15/54),52% (12/23),50% (2/4),25,27,76% (16/21),67% (53/79),35% (27/77),51% (80/156),8,0,92% (11/12),17% (2/12),54% (13/24),"['1', '1']","['6', '5']",[],[],[],1.40
24.10. 17:40,Van De Zandschulp B.,0,6^3,5,,,,5,3,70%,72% (39/54),48% (11/23),50% (2/4),27% (14/51),43% (12/28),20% (1/5),23,29,73% (11/15),65% (50/77),33% (26/79),49% (76/156),2,0,83% (10/12),8% (1/12),46% (11/24),"['1', '0']",[],[],[],[],3.00
22.10. 23:25,Tsitsipas S.,2,6,6^3,7^7,,,6,1,61%,77% (57/74),47% (22/47),75% (6/8),39% (28/71),37% (15/41),25% (3/12),28,53,79% (15/19),65% (78/120),38% (42/111),52% (120/231),6,0,88% (15/17),19% (3/16),55% (18/33),"['2', '0']","['1', '0']","['6', '6']",[],[],1.37
22.10. 23:25,Cerundolo F.,1,3,7^7,6^4,,,9,3,63%,61% (43/71),63% (26/41),75% (9/12),26% (19/74),53% (25/47),25% (2/8),28,47,70% (7/10),62% (69/111),35% (42/120),48% (111/231),4,0,81% (13/16),12% (2/17),45% (15/33),[],"['4', '4']","['6', '5']",[],[],3.11
ATP - SINGLES :  Antwerp (Belgium),hard,header
18.10. 23:10,Tsitsipas S.,0,4,4,,,,8,1,57%,66% (27/41),58% (18/31),71% (5/7),9% (3/32),40% (8/20),0% (0/0),18,26,50% (4/8),63% (45/72),21% (11/52),45% (56/124),4,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],1.96
