Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,240/175,38/31,197/135,-,5/9,-
2024,19/15,4/3,15/12,-,-,-
2023,21/24,3/6,16/16,-,2/2,-
2022,26/21,1/4,25/17,-,-,-
2021,38/10,9/4,29/6,-,-,-
2020,33/13,-,32/12,-,1/1,-
2019,22/24,6/4,16/19,-,0/1,-
2018,21/23,0/2,21/20,-,0/1,-
2017,28/17,6/2,20/14,-,2/1,-
2016,15/11,1/2,14/8,-,0/1,-
2015,9/9,4/2,5/6,-,0/1,-
2014,8/7,4/2,4/4,-,0/1,-
2013,0/1,-,0/1,-,-,-
