Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,358/264,42/52,102/62,195/137,19/13,-
2024,3/1,-,-,3/1,-,-
2023,3/7,0/1,-,3/6,-,-
2022,13/5,5/0,4/2,4/3,-,-
2021,0/1,0/1,-,-,-,-
2020,8/8,6/6,-,2/2,-,-
2019,19/24,2/7,7/6,10/11,-,-
2018,43/22,-,14/6,29/16,-,-
2017,48/28,1/1,30/14,17/13,-,-
2016,37/30,0/3,8/7,26/18,3/2,-
2014,22/18,3/5,0/2,18/8,1/3,-
2013,29/18,0/2,18/7,10/7,1/2,-
2012,43/26,8/4,10/6,16/13,9/3,-
2011,47/30,1/4,6/6,35/17,5/3,-
2010,28/25,8/11,5/4,15/10,-,-
2009,10/19,6/6,0/2,4/11,-,-
2008,5/2,2/1,-,3/1,-,-
