Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.06.,Boulais J.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['3', '1']",[],[],[],1.31
12.06.,Hulme M.,0,,,,,,"['2', '0']",[],[],[],[],3.20
11.06.,Hulme M.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '5', '2']",[],[],[],1.22
11.06.,Zamani A.,0,,,,,,"['3', '4']",[],[],[],[],3.91
05.06.,Stice T.,2,,,,,,[],[],"['6', '5']",[],[],2.11
05.06.,Hulme M.,1,,,,,,"['3', '1']",[],"['6', '6']",[],[],1.66
27.05.,Ponwith N.,2,,,,,,[],"['2', '1', '6', '3']",[],[],[],1.78
27.05.,Hulme M.,1,,,,,,"['6', '4']",[],[],[],[],1.92
21.04.,Jadoun N.,2,,,,,,6,9,62%,74% (40/54),55% (18/33),80% (4/5),26% (14/54),45% (13/29),33% (2/6),67% (58/87),33% (28/84),50% (85/171),5,0,93% (13/14),14% (2/14),54% (15/28),"['2', '1']",[],"['2', '0']",[],[],2.27
21.04.,Hulme M.,1,,,,,,12,4,65%,74% (40/54),55% (16/29),67% (4/6),26% (14/54),45% (15/33),20% (1/5),67% (56/84),33% (29/87),50% (85/171),5,0,86% (12/14),7% (1/14),46% (13/28),[],"['4', '2']",[],[],[],1.59
20.04.,Hulme M.,2,,,,,,10,2,64%,82% (40/49),36% (10/28),0% (0/1),35% (17/49),50% (14/28),33% (2/6),65% (50/77),40% (31/77),53% (81/154),7,0,91% (10/11),20% (2/10),57% (12/21),"['3', '1']","['2', '3']",[],[],[],1.50
20.04.,Ujvary M.,0,,,,,,4,3,64%,65% (32/49),50% (14/28),67% (4/6),18% (9/49),64% (18/28),100% (1/1),60% (46/77),35% (27/77),47% (73/154),3,1,80% (8/10),9% (1/11),43% (9/21),[],"['2', '0']",[],[],[],2.48
19.03.,Sweeny D.,2,,,,,,[],"['5', '3']","['1', '0', '4', '3']",[],[],1.30
19.03.,Hulme M.,1,,,,,,"['3', '1']",[],"['2', '2']",[],[],3.30
13.03.,Jasika O.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '3', '0']",[],[],[],1.22
13.03.,Hulme M.,0,,,,,,"['3', '1']",[],[],[],[],3.91
11.03.,Hulme M.,2,,,,,,[],[],[],[],[],1.84
11.03.,Watt J.,0,,,,,,[],[],[],[],[],1.86
26.02.,Braithwaite T.,2,,,,,,"['1', '0']","['3', '2']","['6', '5']",[],[],1.54
26.02.,Hulme M.,1,,,,,,"['4', '4', '7', '5']",[],[],[],[],2.35
20.02.,Imai S.,2,,,,,,"['4', '3']","['2', '1']",[],[],[],1.57
20.02.,Hulme M.,0,,,,,,[],"['5', '5']",[],[],[],2.28
18.02.,Hulme M.,2,,,,,,"['2', '0', '4', '0', '6', '2']","['2', '0', '4', '0']",[],[],[],1.05
18.02.,Young-Mathers S.,0,,,,,,"['1', '4']",[],[],[],[],8.00
05.02.,McCabe J.,2,,,,,,7,1,55%,83% (24/29),67% (16/24),0% (0/0),28% (10/36),47% (8/17),40% (2/5),75% (40/53),34% (18/53),55% (58/106),5,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['3', '2']",[],[],[],1.03
05.02.,Hulme M.,0,,,,,,3,2,68%,72% (26/36),53% (9/17),60% (3/5),17% (5/29),33% (8/24),0% (0/0),66% (35/53),25% (13/53),45% (48/106),5,1,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],10.20
04.02.,Hulme M.,2,,,,,,10,1,73%,58% (42/73),67% (18/27),79% (11/14),31% (15/49),43% (13/30),100% (2/2),60% (60/100),35% (28/79),49% (88/179),6,0,77% (10/13),15% (2/13),46% (12/26),[],"['5', '4']","['1', '0']",[],[],3.33
04.02.,Zhou Y.,1,,,,,,10,2,62%,69% (34/49),57% (17/30),0% (0/2),44% (32/73),33% (9/27),21% (3/14),65% (51/79),40% (40/100),51% (91/179),4,1,85% (11/13),23% (3/13),54% (14/26),"['2', '0', '4', '0', '6', '0']",[],[],[],[],1.30
03.02.,Hulme M.,2,,,,,,3,2,76%,65% (41/63),55% (11/20),78% (7/9),36% (20/55),59% (23/39),50% (5/10),63% (52/83),46% (43/94),54% (95/177),8,0,85% (11/13),38% (5/13),62% (16/26),"['4', '3']","['3', '2']","['1', '0', '3', '0', '5', '0']",[],[],1.45
03.02.,Hewitt C.,1,,,,,,6,6,59%,64% (35/55),41% (16/39),50% (5/10),35% (22/63),45% (9/20),22% (2/9),54% (51/94),37% (31/83),46% (82/177),2,1,62% (8/13),15% (2/13),38% (10/26),"['4', '4', '6', '4']",[],[],[],[],2.63
02.02.,Hulme M.,2,,,,,,9,1,79%,77% (40/52),50% (7/14),75% (3/4),32% (14/44),50% (16/32),43% (3/7),71% (47/66),39% (30/76),54% (77/142),7,0,90% (9/10),27% (3/11),57% (12/21),"['1', '0', '6', '3']","['5', '5']",[],[],[],1.45
02.02.,Huang T.,0,,,,,,2,2,58%,68% (30/44),50% (16/32),57% (4/7),23% (12/52),50% (7/14),25% (1/4),61% (46/76),29% (19/66),46% (65/142),3,0,73% (8/11),10% (1/10),43% (9/21),[],"['2', '1']",[],[],[],2.63
28.01.,Bolt A.,2,,,,,,6,0,62%,78% (25/32),65% (13/20),50% (1/2),46% (29/63),53% (9/17),44% (4/9),73% (38/52),48% (38/80),58% (76/132),5,0,90% (9/10),36% (4/11),62% (13/21),"['3', '2', '6', '5']","['1', '0', '6', '3']",[],[],[],1.12
