Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,807/285,165/67,435/162,91/29,98/26,18/1
2024,0/2,-,0/2,-,-,-
2023,3/7,-,2/4,-,1/3,-
2022,0/4,-,0/4,-,-,-
2021,3/9,0/4,2/4,-,1/1,-
2020,2/12,0/2,2/10,-,-,-
2019,19/15,1/2,16/11,-,2/2,-
2018,17/11,1/3,12/7,-,2/1,2/0
2017,38/14,6/3,23/7,3/3,6/1,-
2016,26/15,5/3,14/11,-,5/1,2/0
2015,41/15,2/3,30/11,4/0,3/1,2/0
2014,32/17,4/3,22/12,4/1,2/1,-
2013,19/10,3/3,15/7,-,-,1/0
2012,24/9,8/4,9/3,5/0,2/2,-
2011,8/5,-,3/1,0/2,5/2,-
2010,39/7,15/3,19/3,1/0,4/1,-
2009,41/16,11/4,24/11,-,6/1,-
2008,43/11,7/3,25/6,4/2,7/0,-
2007,50/10,12/5,22/5,5/0,7/0,4/0
2006,13/6,10/3,0/1,1/1,2/1,-
2005,37/10,9/3,15/5,3/1,7/0,3/1
2004,44/12,17/1,17/7,7/3,1/1,2/0
2003,26/5,6/2,8/2,4/0,6/1,2/0
2002,62/9,14/2,33/4,9/2,6/1,-
2001,46/5,5/2,32/2,2/1,7/0,-
2000,41/4,6/3,25/0,3/1,7/0,-
1999,58/12,12/2,25/5,17/4,4/1,-
1998,52/13,9/2,25/6,14/3,4/2,-
1997,19/13,2/2,13/6,3/3,1/2,-
1996,2/4,-,2/3,0/1,-,-
1995,2/3,-,0/2,2/1,-,-
