Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,10/17,0/2,4/10,-,-,6/5
2024,6/5,-,3/5,-,-,3/0
2023,2/8,0/1,1/5,-,-,1/2
2022,2/2,0/1,-,-,-,2/1
2021,0/2,-,-,-,-,0/2
