Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.07.,Gales R.,2,,,,,,[],"['3', '4']","['2', '2', '4', '4']",[],[],1.12
02.07.,De Gabriele A.,1,,,,,,[],"['3', '1']","['2', '1', '3', '2']",[],[],5.40
24.06.,Berger A.,2,,,,,,"['3', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.08
24.06.,De Gabriele A.,0,,,,,,[],[],[],[],[],6.35
14.06.,De Gabriele A.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.35
14.06.,Avetisyan M.,0,,,,,,"['3', '5']",[],[],[],[],3.28
13.06.,Jovanovic P.,2,,,,,,"['3', '3', '7', '5']","['2', '0', '3', '1', '6', '2']",[],[],[],-
13.06.,De Gabriele A.,0,,,,,,"['1', '0']","['1', '2']",[],[],[],-
12.06.,Strombachs R.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['4', '4', '6', '4']",[],[],1.04
12.06.,De Gabriele A.,1,,,,,,[],"['1', '0', '3', '0']","['2', '1']",[],[],11.30
11.06.,Snitari I.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '2']",[],[],[],-
11.06.,De Gabriele A.,0,,,,,,[],[],[],[],[],-
10.06.,Micov S.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '2']",[],[],-
10.06.,De Gabriele A.,1,,,,,,"['5', '4']",[],"['2', '1']",[],[],-
13.11.2024,Bertran P.,2,,,,,,"['1', '0', '3', '0', '4', '1', '5', '2']","['1', '0', '2', '1', '4', '1', '6', '5']",[],[],[],1.12
13.11.2024,De Gabriele A.,0,,,,,,"['1', '3', '2', '4']","['1', '1', '3', '5', '5', '5', '6', '6']",[],[],[],5.47
01.08.2024,Deschamps T.,2,,,,,,"['5', '3']","['1', '0', '4', '3']","['1', '0', '5', '2']",[],[],1.17
01.08.2024,De Gabriele A.,1,,,,,,"['4', '5']","['3', '3']",[],[],[],4.61
30.07.2024,De Gabriele A.,2,,,,,,"['1', '0', '5', '4']","['4', '3', '6', '5']",[],[],[],6.69
30.07.2024,Ouakaa A.,0,,,,,,"['2', '2']","['4', '4']",[],[],[],1.08
25.07.2024,Hamza Reguig S.,2,,,,,,"['2', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],1.26
25.07.2024,De Gabriele A.,0,,,,,,[],"['1', '1']",[],[],[],3.59
24.07.2024,De Gabriele A.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '3', '2', '5', '2']",[],[],[],1.32
24.07.2024,Bartram W.,0,,,,,,"['2', '0']","['2', '2']",[],[],[],3.18
15.06.2024,De Gabriele A.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '3', '0']","['1', '0', '2', '1', '4', '3', '6', '5']",[],[],6.06
15.06.2024,Zund S.,1,,,,,,"['1', '0']","['3', '5', '5', '5', '7', '5']","['1', '1', '2', '2', '5', '5']",[],[],1.11
14.06.2024,De Gabriele A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0']",[],[],[],1.03
14.06.2024,Muedini M.,0,,,,,,[],[],[],[],[],11.00
13.06.2024,De Gabriele A.,2,,,,,,"['2', '3', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.14
13.06.2024,Khachatryan S.,0,,,,,,"['3', '1']",[],[],[],[],5.37
16.06.2023,Snitari I.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '5', '1']",[],[],[],-
16.06.2023,De Gabriele A.,0,,,,,,[],[],[],[],[],-
15.06.2023,Christodoulou S.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['3', '1', '4', '2', '5', '3']",[],[],[],1.27
15.06.2023,De Gabriele A.,0,,,,,,"['2', '2']","['2', '3', '3', '4']",[],[],[],3.80
14.06.2023,De Gabriele A.,2,,,,,,"['4', '4']","['2', '0', '4', '0', '6', '2']","['1', '1', '5', '3']",[],[],2.31
14.06.2023,Markovski O.,1,,,,,,"['4', '3', '5', '4']","['2', '5']","['1', '0', '4', '5']",[],[],1.62
30.07.2022,Bonifacius R.,2,,,,,,"['3', '4']","['2', '0', '4', '0']",[],[],[],-
30.07.2022,De Gabriele A.,0,,,,,,"['2', '0']","['2', '5']",[],[],[],-
29.07.2022,De Gabriele A.,2,,,,,,"['2', '1', '4', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],-
29.07.2022,Cervos Noguer E.,0,,,,,,[],"['1', '0']",[],[],[],-
27.07.2022,De Gabriele A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],-
27.07.2022,Tashi V.,0,,,,,,[],"['1', '1']",[],[],[],-
18.06.2021,Elamin A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '6', '2']",[],[],[],-
18.06.2021,De Gabriele A.,0,,,,,,[],[],[],[],[],-
17.06.2021,Rodesch C.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '2']",[],[],[],-
17.06.2021,De Gabriele A.,0,,,,,,[],[],[],[],[],-
