Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,68/53,6/4,53/44,-,4/4,5/1
2024,9/9,-,7/7,-,2/2,-
2023,35/24,2/2,26/19,-,2/2,5/1
2022,24/20,4/2,20/18,-,-,-
