Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Paris (France) - Qualification,hard,header
27.10. 19:15,Mensik J.,0,6^3,,,,,2,1,67%,75% (21/28),57% (8/14),0% (0/0),17% (4/23),20% (3/15),0% (0/2),7,24,33% (3/9),69% (29/42),18% (7/38),45% (36/80),3,0,100% (6/6),0% (0/6),50% (6/12),[],[],[],[],[],1.48
27.10. 19:15,Moutet C.,1,7^7,,,,,3,1,61%,83% (19/23),80% (12/15),100% (2/2),25% (7/28),43% (6/14),0% (0/0),16,15,75% (3/4),82% (31/38),31% (13/42),55% (44/80),7,0,100% (6/6),0% (0/6),50% (6/12),[],[],[],[],[],2.66
26.10. 22:00,Mensik J.,2,7^7,1,6,,,11,4,52%,73% (37/51),46% (22/48),50% (4/8),26% (12/47),34% (12/35),29% (2/7),34,50,61% (11/18),60% (59/99),29% (24/82),46% (83/181),7,0,73% (11/15),14% (2/14),45% (13/29),[],[],"['2', '3', '5', '4']",[],[],1.30
26.10. 22:00,Lajovic D.,1,6^4,6,4,,,9,1,57%,74% (35/47),66% (23/35),71% (5/7),27% (14/51),54% (26/48),50% (4/8),27,32,80% (8/10),71% (58/82),40% (40/99),54% (98/181),3,0,86% (12/14),27% (4/15),55% (16/29),[],"['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],3.54
ATP - SINGLES :  Vienna (Austria),hard,header
26.10. 00:45,Mensik J.,1,7^7,3,4,,,15,2,63%,77% (49/64),46% (17/37),60% (3/5),22% (15/69),47% (21/45),0% (0/4),48,66,82% (18/22),65% (66/101),32% (36/114),47% (102/215),4,0,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],2.02
26.10. 00:45,De Minaur A.,2,6^2,6,6,,,3,6,61%,78% (54/69),53% (24/45),100% (4/4),23% (15/64),54% (20/37),40% (2/5),17,25,94% (16/17),68% (78/114),35% (35/101),53% (113/215),6,0,100% (16/16),13% (2/15),58% (18/31),[],"['4', '2']","['3', '2']",[],[],1.82
24.10. 15:40,Mensik J.,2,6,7^9,,,,23,2,72%,86% (48/56),41% (9/22),100% (4/4),27% (13/48),48% (23/48),13% (1/8),46,32,45% (5/11),73% (57/78),38% (36/96),53% (93/174),6,0,100% (11/11),10% (1/10),57% (12/21),"['5', '3']",[],[],[],[],1.50
24.10. 15:40,Kecmanovic M.,0,3,6^7,,,,3,5,50%,73% (35/48),52% (25/48),88% (7/8),14% (8/56),59% (13/22),0% (0/4),24,29,73% (8/11),63% (60/96),27% (21/78),47% (81/174),4,1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.65
21.10. 23:25,Mensik J.,2,7^7,6,,,,5,3,56%,83% (29/35),61% (17/28),100% (5/5),40% (19/48),49% (17/35),33% (2/6),22,26,80% (8/10),73% (46/63),43% (36/83),56% (82/146),6,0,100% (10/10),20% (2/10),60% (12/20),[],"['1', '0', '3', '0']",[],[],[],1.68
21.10. 23:25,Popyrin A.,0,6^3,2,,,,4,2,58%,60% (29/48),51% (18/35),67% (4/6),17% (6/35),39% (11/28),0% (0/5),26,35,82% (14/17),57% (47/83),27% (17/63),44% (64/146),4,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.20
ATP - SINGLES :  Vienna (Austria) - Qualification,hard,header
20.10. 16:25,Mensik J.,2,6,6,,,,9,1,65%,86% (31/36),47% (9/19),100% (1/1),42% (14/33),42% (8/19),75% (3/4),28,25,77% (10/13),73% (40/55),42% (22/52),58% (62/107),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0']","['2', '1', '4', '1']",[],[],[],1.35
20.10. 16:25,Muller A.,0,3,2,,,,0,0,63%,58% (19/33),58% (11/19),25% (1/4),14% (5/36),53% (10/19),0% (0/1),4,17,63% (5/8),58% (30/52),27% (15/55),42% (45/107),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.29
19.10. 14:40,Mensik J.,2,6,6,,,,8,0,65%,61% (25/41),68% (15/22),67% (4/6),40% (16/40),61% (11/18),67% (4/6),24,27,64% (9/14),63% (40/63),47% (27/58),55% (67/121),7,0,80% (8/10),44% (4/9),63% (12/19),"['4', '2']","['1', '2', '3', '2', '5', '4']",[],[],[],1.15
19.10. 14:40,Ritschard A.,0,3,4,,,,0,3,69%,60% (24/40),39% (7/18),33% (2/6),39% (16/41),32% (7/22),33% (2/6),11,28,50% (5/10),53% (31/58),37% (23/63),45% (54/121),3,0,56% (5/9),20% (2/10),37% (7/19),[],"['2', '0', '3', '3']",[],[],[],5.52
ATP - SINGLES :  Shanghai (China),hard,header
11.10. 16:10,Mensik J.,1,7^7,1,4,,,17,6,60%,78% (51/65),34% (15/44),56% (5/9),17% (9/52),43% (13/30),100% (1/1),34,43,64% (9/14),61% (66/109),27% (22/82),46% (88/191),4,0,71% (10/14),7% (1/15),38% (11/29),"['5', '5']",[],[],[],[],7.03
11.10. 16:10,Djokovic N.,2,6^4,6,6,,,7,1,63%,83% (43/52),57% (17/30),0% (0/1),22% (14/65),66% (29/44),44% (4/9),24,26,80% (12/15),73% (60/82),39% (43/109),54% (103/191),6,0,93% (14/15),29% (4/14),62% (18/29),"['5', '4']","['2', '0', '5', '1']","['3', '2']",[],[],1.10
09.10. 15:10,Mensik J.,2,6,3,6,,,10,6,61%,78% (42/54),40% (14/35),50% (2/4),34% (18/53),42% (16/38),20% (3/15),27,33,60% (6/10),63% (56/89),37% (34/91),50% (90/180),4,0,86% (12/14),21% (3/14),54% (15/28),"['2', '0']",[],"['3', '1', '6', '4']",[],[],3.20
09.10. 15:10,Dimitrov G.,1,3,6,4,,,5,3,58%,66% (35/53),58% (22/38),80% (12/15),22% (12/54),60% (21/35),50% (2/4),30,35,75% (15/20),63% (57/91),37% (33/89),50% (90/180),6,1,79% (11/14),14% (2/14),46% (13/28),[],"['2', '0']","['4', '5']",[],[],1.36
08.10. 10:10,Mensik J.,2,6,6^5,6,,,9,1,58%,83% (39/47),59% (20/34),50% (1/2),40% (20/50),50% (19/38),56% (5/9),28,36,67% (8/12),73% (59/81),44% (39/88),58% (98/169),9,0,93% (13/14),38% (5/13),67% (18/27),"['3', '1', '5', '1']","['2', '1']","['4', '2', '6', '2']",[],[],1.36
08.10. 10:10,Shevchenko A.,1,1,7^7,2,,,4,2,57%,60% (30/50),50% (19/38),44% (4/9),17% (8/47),41% (14/34),50% (1/2),19,47,70% (7/10),56% (49/88),27% (22/81),42% (71/169),1,1,62% (8/13),7% (1/14),33% (9/27),[],"['3', '3']",[],[],[],3.20
