Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
12.03.,Santillan A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],1.15
12.03.,Wang C.,0,,,,,,[],[],[],[],[],4.75
15.10.2023,Xiao L.,2,,,,,,3,2,45%,68% (21/31),45% (17/38),43% (3/7),44% (22/50),67% (12/18),67% (6/9),55% (38/69),50% (34/68),53% (72/137),60% (6/10),60% (6/10),60% (12/20),"['2', '0', '6', '2']","['2', '0', '3', '5', '5', '5', '6', '6']",[],[],[],1.60
15.10.2023,Wang C.,0,,,,,,0,1,74%,56% (28/50),33% (6/18),33% (3/9),32% (10/31),55% (21/38),57% (4/7),50% (34/68),45% (31/69),47% (65/137),40% (4/10),40% (4/10),40% (8/20),[],"['1', '2', '3', '2', '5', '2', '6', '5']",[],[],[],2.26
09.10.2023,Sun F.,2,,,,,,1,0,76%,64% (25/39),58% (7/12),71% (5/7),58% (18/31),70% (14/20),60% (6/10),63% (32/51),63% (32/51),63% (64/102),75% (6/8),75% (6/8),75% (12/16),"['4', '2', '6', '2']","['2', '0', '3', '1', '4', '2', '6', '2']",[],[],[],1.07
09.10.2023,Wang C.,0,,,,,,1,0,61%,42% (13/31),30% (6/20),40% (4/10),36% (14/39),42% (5/12),29% (2/7),37% (19/51),37% (19/51),37% (38/102),25% (2/8),25% (2/8),25% (4/16),[],"['1', '2', '2', '3']",[],[],[],7.70
19.09.2023,Palan D.,2,,,,,,12,6,60%,83% (50/60),28% (11/40),67% (8/12),35% (25/71),46% (12/26),38% (3/8),43,34,68% (19/28),61% (61/100),38% (37/97),50% (98/197),73% (11/15),21% (3/14),48% (14/29),"['2', '0']","['1', '0']","['2', '3']",[],[],1.16
19.09.2023,Wang C.,1,,,,,,3,5,73%,65% (46/71),54% (14/26),63% (5/8),17% (10/60),73% (29/40),33% (4/12),17,13,64% (7/11),62% (60/97),39% (39/100),50% (99/197),79% (11/14),27% (4/15),52% (15/29),[],"['1', '1', '3', '1', '6', '2']","['2', '0']",[],[],4.79
10.09.2023,Wang A.,2,,,,,,19,6,49%,80% (40/50),53% (28/53),60% (3/5),19% (13/67),56% (14/25),20% (1/5),66% (68/103),29% (27/92),49% (95/195),87% (13/15),7% (1/14),48% (14/29),[],[],"['2', '0']",[],[],1.82
10.09.2023,Wang C.,1,,,,,,4,1,73%,81% (54/67),44% (11/25),80% (4/5),20% (10/50),47% (25/53),40% (2/5),71% (65/92),34% (35/103),51% (100/195),93% (13/14),13% (2/15),52% (15/29),[],"['2', '1', '4', '1']",[],[],[],1.91
07.09.2023,Rawat S.,2,,,,,,[],[],[],[],[],1.43
07.09.2023,Wang C.,1,,,,,,[],[],[],[],[],2.67
05.09.2023,Wang C.,2,,,,,,[],[],[],[],[],1.37
05.09.2023,Sinha N. K.,1,,,,,,[],[],[],[],[],2.91
29.08.2023,Musitelli F.,2,,,,,,[],[],[],[],[],1.55
29.08.2023,Wang C.,0,,,,,,[],[],[],[],[],2.33
16.07.2023,Castelnuovo L.,2,,,,,,[],[],[],[],[],1.50
16.07.2023,Wang C.,0,,,,,,[],[],[],[],[],2.45
15.07.2023,Wang C.,2,,,,,,[],[],[],[],[],1.67
15.07.2023,Tang S.,0,,,,,,[],[],[],[],[],2.10
14.07.2023,Wang C.,2,,,,,,[],[],[],[],[],1.55
14.07.2023,Wattanakul P.,1,,,,,,[],[],[],[],[],2.33
13.07.2023,Wang C.,2,,,,,,[],[],[],[],[],1.37
13.07.2023,Sun Qian,0,,,,,,[],[],[],[],[],2.91
12.07.2023,Wang C.,1,,,,,,[],[],[],[],[],2.70
12.07.2023,Ostapenkov D.,0,,,,,,[],[],[],[],[],1.42
07.07.2023,Ostapenkov D.,2,,,,,,[],[],[],[],[],1.38
07.07.2023,Wang C.,1,,,,,,[],[],[],[],[],2.86
06.07.2023,Wang C.,2,,,,,,[],[],[],[],[],1.30
06.07.2023,Sun Qian,0,,,,,,[],[],[],[],[],3.32
05.07.2023,Wang C.,2,,,,,,[],[],[],[],[],2.06
05.07.2023,Wang X.,1,,,,,,[],[],[],[],[],1.68
30.06.2023,Bai Y.,2,,,,,,[],[],[],[],[],1.11
30.06.2023,Wang C.,0,,,,,,[],[],[],[],[],5.68
29.06.2023,Wang C.,2,,,,,,[],[],[],[],[],3.10
29.06.2023,Cui J.,1,,,,,,[],[],[],[],[],1.33
27.06.2023,Wang C.,2,,,,,,[],[],[],[],[],1.06
27.06.2023,Zhou X. Y.,0,,,,,,[],[],[],[],[],7.70
23.06.2023,Bai Y.,2,,,,,,[],[],[],[],[],1.22
23.06.2023,Wang C.,0,,,,,,[],[],[],[],[],3.93
22.06.2023,Wang C.,2,,,,,,[],[],[],[],[],3.56
22.06.2023,Cui J.,0,,,,,,[],[],[],[],[],1.26
14.06.2023,Jin J.,2,,,,,,[],[],[],[],[],1.53
14.06.2023,Wang C.,0,,,,,,[],[],[],[],[],2.38
03.05.2023,Radulov I.,2,,,,,,[],[],[],[],[],1.59
03.05.2023,Wang C.,0,,,,,,[],[],[],[],[],2.25
29.09.2022,Lakoseljac C.,2,,,,,,"['4', '2']","['1', '0', '6', '3']",[],[],[],2.10
29.09.2022,Wang C.,0,,,,,,[],[],[],[],[],1.68
