Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,8/8,7/7,1/1,-,-,-
2024,6/4,6/4,-,-,-,-
2023,1/3,0/2,1/1,-,-,-
2022,1/1,1/1,-,-,-,-
