Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,398/247,167/88,190/131,21/13,20/15,-
2024,22/18,2/4,20/13,-,0/1,-
2023,38/34,11/9,19/18,4/3,4/4,-
2022,50/25,12/5,30/16,3/1,5/3,-
2021,22/16,3/3,14/9,1/1,4/3,-
2020,16/14,4/3,8/7,4/4,-,-
2019,82/26,60/16,12/6,5/2,5/2,-
2018,11/13,9/10,2/3,-,-,-
2017,21/27,3/10,18/17,-,-,-
2016,65/20,45/15,17/3,2/1,1/1,-
2015,25/19,2/2,23/17,-,-,-
2014,34/23,15/10,18/12,-,1/1,-
2013,1/1,-,1/1,-,-,-
2012,10/7,1/1,7/5,2/1,-,-
2011,1/4,-,1/4,-,-,-
